Status,Date,Time
Open,2022-02-03,10:05:01
Open,2022-02-03,10:55:01
Close,2022-02-03,11:20:01
Open,2022-02-03,11:25:01
Open,2022-02-03,11:55:01
Open,2022-02-03,12:00:01
Open,2022-02-04,10:30:01
Open,2022-02-04,10:55:01
Open,2022-02-04,15:45:01
Open,2022-02-04,17:30:01
Open,2022-02-05,10:45:01
Open,2022-02-05,12:00:01
Open,2022-02-05,12:15:01
Open,2022-02-05,12:20:01
Open,2022-02-05,12:55:01
Open,2022-02-05,13:00:01
Open,2022-02-05,13:05:01
Open,2022-02-05,13:25:01
Open,2022-02-05,14:30:01
Open,2022-02-06,10:15:01
Open,2022-02-06,17:15:01
Open,2022-02-07,06:25:02
Open,2022-02-07,08:50:01
Open,2022-02-07,11:05:02
Open,2022-02-07,15:45:01
Close,2022-02-07,15:50:01
Open,2022-02-07,15:55:01
Open,2022-02-07,16:15:02
Open,2022-02-07,18:15:01
Open,2022-02-07,21:25:01
Open,2022-02-08,06:40:01
Open,2022-02-08,08:35:01
Open,2022-02-08,15:05:02
Open,2022-02-08,18:45:01
Open,2022-02-09,06:50:01
Open,2022-02-09,06:55:01
Open,2022-02-09,07:00:01
Open,2022-02-09,15:25:01
Open,2022-02-09,16:55:01
Open,2022-02-09,18:50:01
Open,2022-02-10,09:00:01
Open,2022-02-10,12:20:01
Open,2022-02-10,16:40:01
Open,2022-02-11,05:50:01
Open,2022-02-11,05:55:01
Open,2022-02-11,06:10:02
Open,2022-02-11,06:20:01
Open,2022-02-11,06:45:01
Open,2022-02-11,16:45:03
Open,2022-02-11,16:50:03
Open,2022-02-16,06:50:02
Open,2022-02-16,07:30:02
Open,2022-02-17,06:55:02
Close,2022-02-17,07:20:02
Open,2022-02-17,07:40:02
Open,2022-02-17,07:45:03
Open,2022-02-17,08:00:02
Open,2022-02-17,08:05:02
Open,2022-02-17,08:15:03
Open,2022-02-17,09:10:02
Open,2022-02-17,09:55:03
Open,2022-02-17,10:05:02
Open,2022-02-17,10:40:03
Open,2022-02-17,11:20:02
Open,2022-02-17,11:40:02
Open,2022-02-17,13:00:02
Open,2022-02-17,13:50:02
Open,2022-02-17,13:55:02
Open,2022-02-17,14:40:03
Open,2022-02-17,14:45:02
Open,2022-02-17,15:20:02
Open,2022-02-17,16:20:02
Open,2022-02-17,16:25:02
Open,2022-02-18,06:25:01
Open,2022-02-18,07:05:02
Close,2022-02-18,07:20:02
Open,2022-02-18,07:25:02
Open,2022-02-18,10:15:03
Open,2022-02-18,10:35:03
Open,2022-02-18,10:50:03
Open,2022-02-18,12:35:03
Open,2022-02-18,14:50:07
Open,2022-02-21,09:10:07
Open,2022-02-21,12:10:07
Open,2022-02-21,12:35:03
Open,2022-02-21,13:05:06
Open,2022-02-21,13:15:05
Open,2022-02-21,13:50:06
Open,2022-02-21,15:15:07
Open,2022-02-21,16:05:08
Open,2022-02-21,16:20:06
Open,2022-02-23,14:55:05
Open,2022-02-23,17:00:06
Open,2022-02-24,09:10:04
Close,2022-02-24,11:05:03
Open,2022-02-24,11:10:04
Open,2022-02-24,11:40:07
Open,2022-02-24,12:00:03
Open,2022-02-24,16:30:06
Open,2022-02-24,16:35:08
Open,2022-02-24,19:50:08
Open,2022-02-24,20:50:09
Open,2022-02-25,06:45:03
Open,2022-02-25,06:50:03
Open,2022-02-25,16:10:05
Open,2022-02-25,16:35:02
Open,2022-02-25,17:40:04
Open,2022-02-26,10:30:02
Open,2022-02-26,11:25:02
Open,2022-02-26,11:30:04
Open,2022-02-26,13:40:04
Open,2022-02-26,14:10:03
Close,2022-02-27,17:25:03
Open,2022-02-27,17:30:04
Open,2022-02-28,09:10:04
Open,2022-02-28,10:40:04
Open,2022-02-28,12:30:02
Open,2022-02-28,14:05:04
Open,2022-02-28,14:35:03
Close,2022-02-28,17:20:03
Open,2022-02-28,17:25:04
Open,2022-02-28,17:45:05
Open,2022-03-01,13:35:03
Open,2022-03-01,14:30:04
Open,2022-03-01,18:20:02
Open,2022-03-01,18:45:05
Open,2022-03-02,08:40:03
Open,2022-03-02,09:50:02
Close,2022-03-02,10:25:04
Open,2022-03-02,10:30:02
Open,2022-03-02,12:05:02
Open,2022-03-02,16:20:02
Open,2022-03-02,17:50:04
Open,2022-03-02,18:20:04
Close,2022-03-02,18:35:04
Open,2022-03-02,22:45:04
Open,2022-03-03,08:15:04
Open,2022-03-03,09:55:03
Open,2022-03-03,10:20:03
Open,2022-03-03,10:55:04
Open,2022-03-03,11:20:04
Open,2022-03-03,11:35:03
Open,2022-03-03,12:25:02
Open,2022-03-03,16:40:03
Open,2022-03-03,17:05:02
Open,2022-03-04,07:40:04
Open,2022-03-04,08:00:06
Open,2022-03-04,10:05:03
Close,2022-03-04,16:15:06
Open,2022-03-04,16:20:04
Open,2022-03-04,16:35:04
Open,2022-03-04,18:30:03
Close,2022-03-04,23:00:05
Open,2022-03-05,09:20:01
Open,2022-03-05,09:25:02
Open,2022-03-05,12:10:02
Open,2022-03-05,12:45:02
Close,2022-03-05,13:50:04
Open,2022-03-05,13:55:02
Open,2022-03-05,14:15:03
Open,2022-03-05,14:30:03
Close,2022-03-05,14:55:03
Open,2022-03-05,15:00:02
Open,2022-03-05,15:20:03
Open,2022-03-07,06:25:05
Open,2022-03-07,08:40:04
Close,2022-03-07,10:40:02
Open,2022-03-07,10:45:04
Open,2022-03-07,16:15:04
Open,2022-03-07,18:55:03
Open,2022-03-07,19:10:05
Open,2022-03-08,06:40:04
Open,2022-03-08,06:50:03
Open,2022-03-08,17:00:05
Open,2022-03-08,17:10:03
Open,2022-03-08,20:15:03
Open,2022-03-08,20:30:04
Open,2022-03-09,06:20:04
Open,2022-03-09,12:15:04
Open,2022-03-09,16:15:03
Open,2022-03-09,16:55:03
Open,2022-03-09,17:15:04
Close,2022-03-10,06:55:03
Open,2022-03-10,11:10:02
Open,2022-03-10,11:15:05
Open,2022-03-10,12:35:02
Open,2022-03-10,17:35:03
Open,2022-03-10,18:05:03
Open,2022-03-10,18:20:02
Close,2022-03-11,06:15:05
Open,2022-03-11,06:20:03
Open,2022-03-11,14:40:04
Close,2022-03-12,09:50:02
Open,2022-03-12,09:55:03
Open,2022-03-12,10:00:04
Open,2022-03-12,10:05:03
Open,2022-03-12,10:15:03
Open,2022-03-12,15:30:03
Open,2022-03-12,15:55:04
Open,2022-03-12,16:00:04
